Vgs,	Vds,	Ids
-5.00000000,-4.98215040,-0.00303142
-5.00000000,-4.88209520,-0.00302738
-5.00000000,-4.78203350,-0.00302329
-5.00000000,-4.68244910,-0.00301911
-5.00000000,-4.58239240,-0.00301457
-5.00000000,-4.48234100,-0.00300997
-5.00000000,-4.38229360,-0.00300501
-5.00000000,-4.28222670,-0.00299986
-5.00000000,-4.18230480,-0.00299442
-5.00000000,-4.08277870,-0.00298855
-5.00000000,-3.98274010,-0.00298231
-5.00000000,-3.88271850,-0.00297542
-5.00000000,-3.78267220,-0.00296799
-5.00000000,-3.68258190,-0.00295977
-5.00000000,-3.58255910,-0.00295073
-5.00000000,-3.48305730,-0.00294060
-5.00000000,-3.38305520,-0.00292905
-5.00000000,-3.28303620,-0.00291607
-5.00000000,-3.18304560,-0.00290117
-5.00000000,-3.08299940,-0.00288413
-5.00000000,-2.98302840,-0.00286451
-5.00000000,-2.88361090,-0.00284218
-5.00000000,-2.78368530,-0.00281644
-5.00000000,-2.68377240,-0.00278694
-5.00000000,-2.58382600,-0.00275360
-5.00000000,-2.48396110,-0.00271595
-5.00000000,-2.38412100,-0.00267366
-5.00000000,-2.28484370,-0.00262683
-5.00000000,-2.18507360,-0.00257487
-5.00000000,-2.08538910,-0.00251763
-5.00000000,-1.98567830,-0.00245503
-5.00000000,-1.88599240,-0.00238703
-5.00000000,-1.78635980,-0.00231344
-5.00000000,-1.68725350,-0.00223456
-5.00000000,-1.58766250,-0.00214972
-5.00000000,-1.48806460,-0.00205893
-5.00000000,-1.38854220,-0.00196254
-5.00000000,-1.28906760,-0.00186030
-5.00000000,-1.18961890,-0.00175216
-5.00000000,-1.09071510,-0.00163888
-5.00000000,-0.99126373,-0.00151903
-5.00000000,-0.89191534,-0.00139345
-5.00000000,-0.79260655,-0.00126209
-5.00000000,-0.69334221,-0.00112477
-5.00000000,-0.59408412,-0.00098156
-5.00000000,-0.49533647,-0.00083337
-5.00000000,-0.39615838,-0.00067850
-5.00000000,-0.29701343,-0.00051764
-5.00000000,-0.19791209,-0.00035100
-5.00000000,-0.09884354,-0.00017831
-5.00000000,-0.00015237,-0.00000024
-4.90000000,-4.98283770,-0.00291540
-4.90000000,-4.88277730,-0.00291081
-4.90000000,-4.78271560,-0.00290682
-4.90000000,-4.68313770,-0.00290268
-4.90000000,-4.58307320,-0.00289854
-4.90000000,-4.48301790,-0.00289411
-4.90000000,-4.38297700,-0.00288955
-4.90000000,-4.28289850,-0.00288475
-4.90000000,-4.18297780,-0.00287957
-4.90000000,-4.08344630,-0.00287421
-4.90000000,-3.98340660,-0.00286843
-4.90000000,-3.88338120,-0.00286214
-4.90000000,-3.78332970,-0.00285542
-4.90000000,-3.68323940,-0.00284800
-4.90000000,-3.58321270,-0.00283978
-4.90000000,-3.48370060,-0.00283079
-4.90000000,-3.38368810,-0.00282047
-4.90000000,-3.28366260,-0.00280892
-4.90000000,-3.18366550,-0.00279567
-4.90000000,-3.08360890,-0.00278049
-4.90000000,-2.98362490,-0.00276305
-4.90000000,-2.88418800,-0.00274309
-4.90000000,-2.78423780,-0.00271995
-4.90000000,-2.68432090,-0.00269343
-4.90000000,-2.58435380,-0.00266309
-4.90000000,-2.48446810,-0.00262866
-4.90000000,-2.38461640,-0.00258981
-4.90000000,-2.28531060,-0.00254640
-4.90000000,-2.18552100,-0.00249798
-4.90000000,-2.08581960,-0.00244438
-4.90000000,-1.98608700,-0.00238545
-4.90000000,-1.88637890,-0.00232117
-4.90000000,-1.78671770,-0.00225129
-4.90000000,-1.68759460,-0.00217619
-4.90000000,-1.58798020,-0.00209502
-4.90000000,-1.48836410,-0.00200797
-4.90000000,-1.38881580,-0.00191518
-4.90000000,-1.28933080,-0.00181656
-4.90000000,-1.18985750,-0.00171208
-4.90000000,-1.09093170,-0.00160238
-4.90000000,-0.99145412,-0.00148606
-4.90000000,-0.89208676,-0.00136398
-4.90000000,-0.79275547,-0.00123609
-4.90000000,-0.69347163,-0.00110221
-4.90000000,-0.59420058,-0.00096244
-4.90000000,-0.49542663,-0.00081736
-4.90000000,-0.39623467,-0.00066584
-4.90000000,-0.29707362,-0.00050830
-4.90000000,-0.19794376,-0.00034478
-4.90000000,-0.09885497,-0.00017528
-4.90000000,-0.00015656,-0.00000028
-4.80000000,-4.98351730,-0.00279905
-4.80000000,-4.88345950,-0.00279466
-4.80000000,-4.78339260,-0.00279093
-4.80000000,-4.68380820,-0.00278706
-4.80000000,-4.58374630,-0.00278303
-4.80000000,-4.48368840,-0.00277895
-4.80000000,-4.38364490,-0.00277464
-4.80000000,-4.28356500,-0.00277012
-4.80000000,-4.18364570,-0.00276536
-4.80000000,-4.08411030,-0.00276040
-4.80000000,-3.98406540,-0.00275507
-4.80000000,-3.88403610,-0.00274933
-4.80000000,-3.78398720,-0.00274318
-4.80000000,-3.68388390,-0.00273652
-4.80000000,-3.58385590,-0.00272912
-4.80000000,-3.48433860,-0.00272098
-4.80000000,-3.38431830,-0.00271185
-4.80000000,-3.28428640,-0.00270159
-4.80000000,-3.18427890,-0.00268994
-4.80000000,-3.08421190,-0.00267644
-4.80000000,-2.98422020,-0.00266102
-4.80000000,-2.88477290,-0.00264325
-4.80000000,-2.78481230,-0.00262265
-4.80000000,-2.68486560,-0.00259886
-4.80000000,-2.58488810,-0.00257154
-4.80000000,-2.48498690,-0.00254032
-4.80000000,-2.38510400,-0.00250474
-4.80000000,-2.28578910,-0.00246484
-4.80000000,-2.18597620,-0.00241999
-4.80000000,-2.08624760,-0.00237006
-4.80000000,-1.98649420,-0.00231488
-4.80000000,-1.88676540,-0.00225430
-4.80000000,-1.78708090,-0.00218822
-4.80000000,-1.68794080,-0.00211683
-4.80000000,-1.58830310,-0.00203941
-4.80000000,-1.48866630,-0.00195613
-4.80000000,-1.38909590,-0.00186711
-4.80000000,-1.28958500,-0.00177228
-4.80000000,-1.19009360,-0.00167141
-4.80000000,-1.09114570,-0.00156533
-4.80000000,-0.99165224,-0.00145262
-4.80000000,-0.89226067,-0.00133410
-4.80000000,-0.79291106,-0.00120961
-4.80000000,-0.69360654,-0.00107923
-4.80000000,-0.59431142,-0.00094294
-4.80000000,-0.49552334,-0.00080123
-4.80000000,-0.39630651,-0.00065300
-4.80000000,-0.29712584,-0.00049877
-4.80000000,-0.19798184,-0.00033846
-4.80000000,-0.09887517,-0.00017212
-4.80000000,-0.00015757,-0.00000024
-4.70000000,-4.98418900,-0.00268394
-4.70000000,-4.88412860,-0.00267978
-4.70000000,-4.78406310,-0.00267624
-4.70000000,-4.68447470,-0.00267269
-4.70000000,-4.58440900,-0.00266893
-4.70000000,-4.48435760,-0.00266507
-4.70000000,-4.38430630,-0.00266102
-4.70000000,-4.28422900,-0.00265682
-4.70000000,-4.18430060,-0.00265239
-4.70000000,-4.08476260,-0.00264773
-4.70000000,-3.98471900,-0.00264285
-4.70000000,-3.88468970,-0.00263757
-4.70000000,-3.78463040,-0.00263193
-4.70000000,-3.68453360,-0.00262584
-4.70000000,-3.58449660,-0.00261922
-4.70000000,-3.48497280,-0.00261200
-4.70000000,-3.38494860,-0.00260377
-4.70000000,-3.28491280,-0.00259469
-4.70000000,-3.18489230,-0.00258427
-4.70000000,-3.08482010,-0.00257244
-4.70000000,-2.98481410,-0.00255882
-4.70000000,-2.88535650,-0.00254324
-4.70000000,-2.78538160,-0.00252495
-4.70000000,-2.68542330,-0.00250379
-4.70000000,-2.58542500,-0.00247925
-4.70000000,-2.48550950,-0.00245115
-4.70000000,-2.38560720,-0.00241884
-4.70000000,-2.28626640,-0.00238236
-4.70000000,-2.18643780,-0.00234103
-4.70000000,-2.08668850,-0.00229476
-4.70000000,-1.98691440,-0.00224326
-4.70000000,-1.88716350,-0.00218645
-4.70000000,-1.78746080,-0.00212410
-4.70000000,-1.68829880,-0.00205657
-4.70000000,-1.58863770,-0.00198292
-4.70000000,-1.48897760,-0.00190343
-4.70000000,-1.38938640,-0.00181825
-4.70000000,-1.28984440,-0.00172715
-4.70000000,-1.19033740,-0.00163001
-4.70000000,-1.09136870,-0.00152759
-4.70000000,-0.99185337,-0.00141857
-4.70000000,-0.89244033,-0.00130366
-4.70000000,-0.79306782,-0.00118276
-4.70000000,-0.69374381,-0.00105592
-4.70000000,-0.59443154,-0.00092299
-4.70000000,-0.49562017,-0.00078481
-4.70000000,-0.39638332,-0.00063998
-4.70000000,-0.29718093,-0.00048900
-4.70000000,-0.19801887,-0.00033202
-4.70000000,-0.09889469,-0.00016894
-4.70000000,-0.00015482,-0.00000025
-4.60000000,-4.98484910,-0.00257013
-4.60000000,-4.88478740,-0.00256629
-4.60000000,-4.78472190,-0.00256297
-4.60000000,-4.68513220,-0.00255956
-4.60000000,-4.58506910,-0.00255602
-4.60000000,-4.48500860,-0.00255237
-4.60000000,-4.38495990,-0.00254863
-4.60000000,-4.28488130,-0.00254467
-4.60000000,-4.18495680,-0.00254049
-4.60000000,-4.08541750,-0.00253627
-4.60000000,-3.98537010,-0.00253164
-4.60000000,-3.88533160,-0.00252686
-4.60000000,-3.78527620,-0.00252166
-4.60000000,-3.68517170,-0.00251620
-4.60000000,-3.58513590,-0.00251017
-4.60000000,-3.48560300,-0.00250362
-4.60000000,-3.38558150,-0.00249634
-4.60000000,-3.28553010,-0.00248821
-4.60000000,-3.18550830,-0.00247907
-4.60000000,-3.08542840,-0.00246869
-4.60000000,-2.98541200,-0.00245666
-4.60000000,-2.88593490,-0.00244288
-4.60000000,-2.78595480,-0.00242686
-4.60000000,-2.68598220,-0.00240816
-4.60000000,-2.58597360,-0.00238645
-4.60000000,-2.48603470,-0.00236127
-4.60000000,-2.38611560,-0.00233211
-4.60000000,-2.28675660,-0.00229901
-4.60000000,-2.18690210,-0.00226109
-4.60000000,-2.08713980,-0.00221843
-4.60000000,-1.98733850,-0.00217072
-4.60000000,-1.88756680,-0.00211765
-4.60000000,-1.78783950,-0.00205924
-4.60000000,-1.68864760,-0.00199546
-4.60000000,-1.58897100,-0.00192565
-4.60000000,-1.48928880,-0.00185004
-4.60000000,-1.38967300,-0.00176863
-4.60000000,-1.29011670,-0.00168137
-4.60000000,-1.19057990,-0.00158803
-4.60000000,-1.09159570,-0.00148930
-4.60000000,-0.99205567,-0.00138401
-4.60000000,-0.89261738,-0.00127278
-4.60000000,-0.79322904,-0.00115546
-4.60000000,-0.69388042,-0.00103226
-4.60000000,-0.59454853,-0.00090288
-4.60000000,-0.49571308,-0.00076821
-4.60000000,-0.39645830,-0.00062671
-4.60000000,-0.29723903,-0.00047926
-4.60000000,-0.19805891,-0.00032553
-4.60000000,-0.09891360,-0.00016572
-4.60000000,-0.00015730,-0.00000028
-4.50000000,-4.98550790,-0.00245798
-4.50000000,-4.88544620,-0.00245429
-4.50000000,-4.78537940,-0.00245121
-4.50000000,-4.68578970,-0.00244796
-4.50000000,-4.58572400,-0.00244459
-4.50000000,-4.48565960,-0.00244120
-4.50000000,-4.38560700,-0.00243765
-4.50000000,-4.28552850,-0.00243396
-4.50000000,-4.18560270,-0.00243012
-4.50000000,-4.08606330,-0.00242615
-4.50000000,-3.98601070,-0.00242190
