Vgs,	Vds,	Ids
-5.00000000,-4.99526540,-0.00078558
-5.00000000,-4.89519200,-0.00078528
-5.00000000,-4.79511090,-0.00078497
-5.00000000,-4.69550570,-0.00078466
-5.00000000,-4.59541920,-0.00078435
-5.00000000,-4.49533930,-0.00078400
-5.00000000,-4.39526980,-0.00078365
-5.00000000,-4.29516890,-0.00078322
-5.00000000,-4.19522520,-0.00078280
-5.00000000,-4.09566130,-0.00078240
-5.00000000,-3.99559180,-0.00078190
-5.00000000,-3.89552870,-0.00078139
-5.00000000,-3.79544740,-0.00078079
-5.00000000,-3.69531560,-0.00078021
-5.00000000,-3.59524610,-0.00077951
-5.00000000,-3.49568340,-0.00077879
-5.00000000,-3.39561260,-0.00077780
-5.00000000,-3.29552870,-0.00077671
-5.00000000,-3.19545900,-0.00077537
-5.00000000,-3.09532460,-0.00077364
-5.00000000,-2.99525370,-0.00077151
-5.00000000,-2.89571440,-0.00076877
-5.00000000,-2.79565650,-0.00076522
-5.00000000,-2.69560350,-0.00076087
-5.00000000,-2.59549240,-0.00075527
-5.00000000,-2.49544980,-0.00074853
-5.00000000,-2.39540880,-0.00074040
-5.00000000,-2.29591230,-0.00073082
-5.00000000,-2.19590870,-0.00071965
-5.00000000,-2.09596340,-0.00070689
-5.00000000,-1.99597680,-0.00069237
-5.00000000,-1.89598460,-0.00067603
-5.00000000,-1.79601870,-0.00065808
-5.00000000,-1.69657650,-0.00063840
-5.00000000,-1.59660810,-0.00061670
-5.00000000,-1.49662510,-0.00059313
-5.00000000,-1.39668900,-0.00056760
-5.00000000,-1.29677730,-0.00054017
-5.00000000,-1.19687090,-0.00051081
-5.00000000,-1.09748590,-0.00047967
-5.00000000,-0.99752774,-0.00044638
-5.00000000,-0.89765092,-0.00041106
-5.00000000,-0.79779065,-0.00037381
-5.00000000,-0.69795609,-0.00033436
-5.00000000,-0.59810740,-0.00029295
-5.00000000,-0.49874307,-0.00024968
-5.00000000,-0.39892559,-0.00020416
-5.00000000,-0.29912140,-0.00015635
-5.00000000,-0.19933609,-0.00010644
-5.00000000,-0.09956207,-0.00005429
-5.00000000,-0.00015648,-0.00000007
-4.90000000,-4.99547940,-0.00074996
-4.90000000,-4.89540600,-0.00074959
-4.90000000,-4.79531320,-0.00074929
-4.90000000,-4.69571450,-0.00074896
-4.90000000,-4.59562800,-0.00074856
-4.90000000,-4.49555190,-0.00074826
-4.90000000,-4.39548120,-0.00074791
-4.90000000,-4.29538030,-0.00074755
-4.90000000,-4.19543140,-0.00074714
-4.90000000,-4.09587260,-0.00074680
-4.90000000,-3.99580060,-0.00074627
-4.90000000,-3.89573490,-0.00074586
-4.90000000,-3.79565100,-0.00074538
-4.90000000,-3.69551790,-0.00074480
-4.90000000,-3.59544970,-0.00074419
-4.90000000,-3.49589090,-0.00074353
-4.90000000,-3.39581750,-0.00074271
-4.90000000,-3.29573110,-0.00074177
-4.90000000,-3.19566520,-0.00074069
-4.90000000,-3.09552430,-0.00073927
-4.90000000,-2.99545470,-0.00073756
-4.90000000,-2.89591150,-0.00073533
-4.90000000,-2.79584840,-0.00073252
-4.90000000,-2.69578760,-0.00072882
-4.90000000,-2.59567530,-0.00072415
-4.90000000,-2.49562880,-0.00071838
-4.90000000,-2.39557870,-0.00071134
-4.90000000,-2.29607700,-0.00070291
-4.90000000,-2.19606170,-0.00069287
-4.90000000,-2.09611390,-0.00068127
-4.90000000,-1.99611550,-0.00066804
-4.90000000,-1.89612080,-0.00065299
-4.90000000,-1.79614970,-0.00063625
-4.90000000,-1.69669450,-0.00061773
-4.90000000,-1.59672220,-0.00059738
-4.90000000,-1.49673140,-0.00057509
-4.90000000,-1.39678230,-0.00055090
-4.90000000,-1.29686810,-0.00052475
-4.90000000,-1.19695130,-0.00049661
-4.90000000,-1.09756500,-0.00046674
-4.90000000,-0.99759369,-0.00043468
-4.90000000,-0.89770784,-0.00040051
-4.90000000,-0.79784575,-0.00036453
-4.90000000,-0.69800202,-0.00032633
-4.90000000,-0.59814666,-0.00028610
-4.90000000,-0.49877500,-0.00024399
-4.90000000,-0.39895202,-0.00019958
-4.90000000,-0.29914077,-0.00015301
-4.90000000,-0.19934944,-0.00010422
-4.90000000,-0.09956875,-0.00005316
-4.90000000,-0.00015880,-0.00000013
-4.80000000,-4.99568560,-0.00071464
-4.80000000,-4.89560440,-0.00071434
-4.80000000,-4.79552460,-0.00071407
-4.80000000,-4.69591680,-0.00071373
-4.80000000,-4.59583290,-0.00071335
-4.80000000,-4.49575810,-0.00071307
-4.80000000,-4.39568090,-0.00071278
-4.80000000,-4.29558520,-0.00071241
-4.80000000,-4.19563890,-0.00071204
-4.80000000,-4.09607370,-0.00071168
-4.80000000,-3.99600420,-0.00071128
-4.80000000,-3.89594500,-0.00071091
-4.80000000,-3.79585460,-0.00071052
-4.80000000,-3.69572280,-0.00071002
-4.80000000,-3.59564810,-0.00070944
-4.80000000,-3.49609190,-0.00070887
-4.80000000,-3.39602240,-0.00070814
-4.80000000,-3.29593080,-0.00070737
-4.80000000,-3.19586100,-0.00070643
-4.80000000,-3.09572400,-0.00070531
-4.80000000,-2.99564540,-0.00070389
-4.80000000,-2.89610470,-0.00070227
-4.80000000,-2.79604550,-0.00069982
-4.80000000,-2.69597570,-0.00069684
-4.80000000,-2.59585940,-0.00069300
-4.80000000,-2.49579870,-0.00068810
-4.80000000,-2.39575110,-0.00068206
-4.80000000,-2.29624170,-0.00067467
-4.80000000,-2.19621990,-0.00066582
-4.80000000,-2.09626040,-0.00065548
-4.80000000,-1.99626210,-0.00064346
-4.80000000,-1.89625570,-0.00062968
-4.80000000,-1.79628200,-0.00061414
-4.80000000,-1.69682030,-0.00059699
-4.80000000,-1.59684160,-0.00057785
-4.80000000,-1.49684680,-0.00055685
-4.80000000,-1.39688480,-0.00053393
-4.80000000,-1.29696020,-0.00050910
-4.80000000,-1.19703820,-0.00048224
-4.80000000,-1.09763640,-0.00045356
-4.80000000,-0.99766423,-0.00042276
-4.80000000,-0.89777445,-0.00038999
