Vgs,	Vds,	Ids
-5.00000000,-4.98578280,-0.00240630
-5.00000000,-4.88572120,-0.00240305
-5.00000000,-4.78566470,-0.00239966
-5.00000000,-4.68607760,-0.00239598
-5.00000000,-4.58600800,-0.00239216
-5.00000000,-4.48595790,-0.00238821
-5.00000000,-4.38591050,-0.00238419
-5.00000000,-4.28582800,-0.00237963
-5.00000000,-4.18591130,-0.00237506
-5.00000000,-4.08636940,-0.00237005
-5.00000000,-3.98632710,-0.00236465
-5.00000000,-3.88629910,-0.00235883
-5.00000000,-3.78624890,-0.00235229
-5.00000000,-3.68615600,-0.00234523
-5.00000000,-3.58612800,-0.00233730
-5.00000000,-3.48661200,-0.00232840
-5.00000000,-3.38659820,-0.00231842
-5.00000000,-3.28657790,-0.00230710
-5.00000000,-3.18657820,-0.00229407
-5.00000000,-3.08651900,-0.00227926
-5.00000000,-2.98653370,-0.00226239
-5.00000000,-2.88709040,-0.00224322
-5.00000000,-2.78714270,-0.00222137
-5.00000000,-2.68720640,-0.00219648
-5.00000000,-2.58722760,-0.00216846
-5.00000000,-2.48733030,-0.00213680
-5.00000000,-2.38744610,-0.00210178
-5.00000000,-2.28812480,-0.00206302
-5.00000000,-2.18829880,-0.00202020
-5.00000000,-2.08855600,-0.00197324
-5.00000000,-1.98877930,-0.00192215
-5.00000000,-1.88902060,-0.00186645
-5.00000000,-1.78930620,-0.00180667
-5.00000000,-1.69011820,-0.00174271
-5.00000000,-1.59043120,-0.00167400
-5.00000000,-1.49073480,-0.00160069
-5.00000000,-1.39109960,-0.00152297
-5.00000000,-1.29151340,-0.00144078
-5.00000000,-1.19193510,-0.00135448
-5.00000000,-1.09290160,-0.00126392
-5.00000000,-0.99330235,-0.00116872
-5.00000000,-0.89380386,-0.00106922
-5.00000000,-0.79433334,-0.00096520
-5.00000000,-0.69489941,-0.00085736
-5.00000000,-0.59546505,-0.00074536
-5.00000000,-0.49651811,-0.00063032
-5.00000000,-0.39713444,-0.00051107
-5.00000000,-0.29776821,-0.00038850
-5.00000000,-0.19842531,-0.00026249
-5.00000000,-0.09910557,-0.00013325
-5.00000000,-0.00015253,-0.00000022
-4.90000000,-4.98634050,-0.00231218
-4.90000000,-4.88627750,-0.00230853
-4.90000000,-4.78621710,-0.00230512
-4.90000000,-4.68662880,-0.00230158
-4.90000000,-4.58655650,-0.00229815
-4.90000000,-4.48650510,-0.00229444
-4.90000000,-4.38645380,-0.00229062
-4.90000000,-4.28637660,-0.00228649
-4.90000000,-4.18645210,-0.00228220
-4.90000000,-4.08691400,-0.00227766
-4.90000000,-3.98686660,-0.00227275
-4.90000000,-3.88683340,-0.00226739
-4.90000000,-3.78678060,-0.00226159
-4.90000000,-3.68668640,-0.00225511
-4.90000000,-3.58664800,-0.00224800
-4.90000000,-3.48713330,-0.00224017
-4.90000000,-3.38711690,-0.00223119
-4.90000000,-3.28708110,-0.00222116
-4.90000000,-3.18707490,-0.00220960
-4.90000000,-3.08700140,-0.00219646
-4.90000000,-2.98700710,-0.00218142
-4.90000000,-2.88755330,-0.00216428
-4.90000000,-2.78758620,-0.00214450
-4.90000000,-2.68764090,-0.00212209
-4.90000000,-2.58764390,-0.00209647
-4.90000000,-2.48773230,-0.00206771
-4.90000000,-2.38783520,-0.00203531
-4.90000000,-2.28848790,-0.00199948
-4.90000000,-2.18865930,-0.00195947
-4.90000000,-2.08889180,-0.00191546
-4.90000000,-1.98909960,-0.00186722
-4.90000000,-1.88932140,-0.00181472
-4.90000000,-1.78958770,-0.00175770
-4.90000000,-1.69038540,-0.00169683
-4.90000000,-1.59068410,-0.00163108
-4.90000000,-1.49096820,-0.00156091
-4.90000000,-1.39131480,-0.00148613
-4.90000000,-1.29170670,-0.00140690
-4.90000000,-1.19212180,-0.00132333
-4.90000000,-1.09306630,-0.00123568
-4.90000000,-0.99345178,-0.00114296
-4.90000000,-0.89393838,-0.00104630
-4.90000000,-0.79445137,-0.00094520
-4.90000000,-0.69500187,-0.00083986
-4.90000000,-0.59554579,-0.00073085
-4.90000000,-0.49658851,-0.00061825
-4.90000000,-0.39718940,-0.00050158
-4.90000000,-0.29780969,-0.00038145
-4.90000000,-0.19845279,-0.00025792
