
VD= 0 to 5 in 0.1 step
VG= 0 to 5 in 0.5 step
NO. VG VB VD ID IB
 V V V A A
114 1 -5 1.1 7.1752E-08 -3.4251E-10
115 1 -5 1.2 7.3051E-08 -3.422E-10
116 1 -5 1.3 7.2948E-08 -3.4515E-10
117 1 -5 1.4 7.3176E-08 -3.4671E-10
118 1 -5 1.5 7.398E-08 -3.4518E-10
119 1 -5 1.6 7.3703E-08 -3.4345E-10
120 1 -5 1.7 7.5075E-08 -3.4305E-10
121 1 -5 1.8 7.4443E-08 -3.4595E-10
122 1 -5 1.9 7.4675E-08 -3.4536E-10
123 1 -5 2 7.5483E-08 -3.4467E-10
124 1 -5 2.1 7.4503E-08 -3.4381E-10
125 1 -5 2.2 7.5918E-08 -3.4277E-10
126 1 -5 2.3 7.5153E-08 -3.4679E-10
127 1 -5 2.4 7.6487E-08 -3.4758E-10
128 1 -5 2.5 7.5875E-08 -3.4649E-10
129 1 -5 2.6 7.5737E-08 -3.4618E-10
130 1 -5 2.7 7.6823E-08 -3.4727E-10
131 1 -5 2.8 7.5203E-08 -3.5219E-10
132 1 -5 2.9 7.8146E-08 -3.5559E-10
133 1 -5 3 7.639E-08 -3.591E-10
134 1 -5 3.1 7.7687E-08 -3.658E-10
135 1 -5 3.2 7.7844E-08 -3.7294E-10
136 1 -5 3.3 7.6937E-08 -3.8651E-10
137 1 -5 3.4 7.7873E-08 -4.0045E-10
138 1 -5 3.5 7.6438E-08 -4.1748E-10
139 1 -5 3.6 7.8874E-08 -4.371E-10
140 1 -5 3.7 7.7194E-08 -4.6372E-10
141 1 -5 3.8 7.7856E-08 -4.9933E-10
142 1 -5 3.9 7.8139E-08 -5.4043E-10
143 1 -5 4 7.7765E-08 -5.8724E-10
144 1 -5 4.1 7.7893E-08 -3.465E-10
145 1 -5 4.2 7.7704E-08 -1.2357E-09
146 1 -5 4.3 7.8367E-08 -1.3026E-09
147 1 -5 4.4 8.0117E-08 -1.3813E-09
148 1 -5 4.5 8.0283E-08 -1.4882E-09
149 1 -5 4.6 8.0057E-08 -1.4794E-09
150 1 -5 4.7 7.9396E-08 -1.4425E-09
151 1 -5 4.8 8.0042E-08 -9.203E-10
152 1 -5 4.9 7.9013E-08 -1.9004E-09
153 1 -5 5 8.1191E-08 -2.1622E-09
154 1.5 -5 0 1.0335E-08 -3.4187E-10
155 1.5 -5 0.1 2.0679E-06 -3.4E-10
156 1.5 -5 0.2 3.4696E-06 -3.4191E-10
157 1.5 -5 0.3 4.3644E-06 -3.4282E-10
158 1.5 -5 0.4 4.8764E-06 -3.4016E-10
159 1.5 -5 0.5 5.1446E-06 -3.4129E-10
160 1.5 -5 0.6 5.2803E-06 -3.4266E-10
161 1.5 -5 0.7 5.3643E-06 -3.4381E-10
162 1.5 -5 0.8 5.4303E-06 -3.4129E-10
163 1.5 -5 0.9 5.4859E-06 -3.4122E-10
164 1.5 -5 1 5.5401E-06 -3.4308E-10
165 1.5 -5 1.1 5.5844E-06 -3.4417E-10
166 1.5 -5 1.2 5.6302E-06 -3.4269E-10
167 1.5 -5 1.3 5.6686E-06 -3.4309E-10
168 1.5 -5 1.4 5.7067E-06 -3.4409E-10
169 1.5 -5 1.5 5.7479E-06 -3.4539E-10
170 1.5 -5 1.6 5.7834E-06 -3.4364E-10
171 1.5 -5 1.7 5.8257E-06 -3.4257E-10
172 1.5 -5 1.8 5.8535E-06 -3.4319E-10
173 1.5 -5 1.9 5.8935E-06 -3.4577E-10
174 1.5 -5 2 5.9302E-06 -3.4436E-10
175 1.5 -5 2.1 5.9582E-06 -3.4389E-10
176 1.5 -5 2.2 5.9975E-06 -3.4376E-10
177 1.5 -5 2.3 6.024E-06 -3.4655E-10
178 1.5 -5 2.4 6.0561E-06 -3.4783E-10
179 1.5 -5 2.5 6.0917E-06 -3.5132E-10
180 1.5 -5 2.6 6.1208E-06 -3.5902E-10
181 1.5 -5 2.7 6.1539E-06 -3.778E-10
182 1.5 -5 2.8 6.1826E-06 -4.064E-10
183 1.5 -5 2.9 6.2075E-06 -4.5672E-10
184 1.5 -5 3 6.2355E-06 -5.385E-10
185 1.5 -5 3.1 6.2703E-06 -1.106E-09
186 1.5 -5 3.2 6.2995E-06 -1.3304E-09
187 1.5 -5 3.3 6.3245E-06 -1.527E-09
188 1.5 -5 3.4 6.3553E-06 -1.0152E-09
189 1.5 -5 3.5 6.3849E-06 -2.1848E-09
190 1.5 -5 3.6 6.4073E-06 -3.0252E-09
191 1.5 -5 3.7 6.4336E-06 -3.0983E-09
192 1.5 -5 3.8 6.4598E-06 -5.0841E-09
193 1.5 -5 3.9 6.4906E-06 -6.48E-09
194 1.5 -5 4 6.5138E-06 -7.6135E-09
195 1.5 -5 4.1 6.544E-06 -1.08512E-08
196 1.5 -5 4.2 6.5668E-06 -1.3651E-08
197 1.5 -5 4.3 6.6017E-06 -1.6775E-08
198 1.5 -5 4.4 6.6212E-06 -2.0933E-08
199 1.5 -5 4.5 6.6571E-06 -2.6605E-08
200 1.5 -5 4.6 6.6846E-06 -3.1875E-08
201 1.5 -5 4.7 6.7139E-06 -4.0402E-08
202 1.5 -5 4.8 6.7581E-06 -4.7679E-08
203 1.5 -5 4.9 6.7806E-06 -5.8943E-08
204 1.5 -5 5 6.8177E-06 -6.9735E-08
205 2 -5 0 1.1187E-07 -3.4303E-10
206 2 -5 0.1 1.7674E-05 -3.431E-10
207 2 -5 0.2 3.0546E-05 -3.4449E-10
208 2 -5 0.3 3.9121E-05 -3.4176E-10
209 2 -5 0.4 4.4354E-05 -3.4384E-10
210 2 -5 0.5 4.7461E-05 -3.4463E-10
211 2 -5 0.6 4.9421E-05 -3.4589E-10
212 2 -5 0.7 5.0721E-05 -3.4334E-10
213 2 -5 0.8 5.1589E-05 -3.448E-10
214 2 -5 0.9 5.2132E-05 -3.4615E-10
215 2 -5 1 5.2518E-05 -3.4636E-10
216 2 -5 1.1 5.2792E-05 -3.4377E-10
217 2 -5 1.2 5.3009E-05 -3.4588E-10
218 2 -5 1.3 5.3213E-05 -3.4687E-10
219 2 -5 1.4 5.3386E-05 -3.4627E-10
220 2 -5 1.5 5.3553E-05 -3.4411E-10
221 2 -5 1.6 5.3704E-05 -3.4688E-10
222 2 -5 1.7 5.3868E-05 -3.4831E-10
223 2 -5 1.8 5.3983E-05 -3.4576E-10
224 2 -5 1.9 5.4134E-05 -3.4536E-10
225 2 -5 2 5.4271E-05 -3.4708E-10
226 2 -5 2.1 5.4395E-05 -3.4833E-10
227 2 -5 2.2 5.4508E-05 -3.4543E-10
228 2 -5 2.3 5.465E-05 -3.4724E-10
229 2 -5 2.4 5.4773E-05 -3.5046E-10
