
VG= 0 to -5 in -0.1 step
VB= 0 to 3 in 0.5 step
NO. VG VB VD ID
 V V V A
1 0 0 -5 -9.287E-11
2 -0.1 0 -5 -9.341E-11
3 -0.2 0 -5 -1.0613E-10
4 -0.3 0 -5 -2.1888E-10
5 -0.4 0 -5 -8.343E-10
6 -0.5 0 -5 -1.05047E-08
7 -0.6 0 -5 -7.6601E-08
8 -0.7 0 -5 -3.5979E-07
9 -0.8 0 -5 -1.10384E-06
10 -0.9 0 -5 -2.5323E-06
11 -1 0 -5 -4.7851E-06
12 -1.1 0 -5 -7.9553E-06
13 -1.2 0 -5 -1.212E-05
14 -1.3 0 -5 -1.7276E-05
15 -1.4 0 -5 -2.3476E-05
16 -1.5 0 -5 -3.0732E-05
17 -1.6 0 -5 -3.9048E-05
18 -1.7 0 -5 -4.843E-05
19 -1.8 0 -5 -5.8859E-05
20 -1.9 0 -5 -7.036E-05
21 -2 0 -5 -8.2925E-05
22 -2.1 0 -5 -9.6478E-05
23 -2.2 0 -5 -0.000111081
24 -2.3 0 -5 -0.00012672
25 -2.4 0 -5 -0.00014335
26 -2.5 0 -5 -0.00016093
27 -2.6 0 -5 -0.0001795
28 -2.7 0 -5 -0.00019898
29 -2.8 0 -5 -0.00021947
30 -2.9 0 -5 -0.00024079
31 -3 0 -5 -0.00026309
32 -3.1 0 -5 -0.00028627
33 -3.2 0 -5 -0.00031036
34 -3.3 0 -5 -0.00033507
35 -3.4 0 -5 -0.00036084
36 -3.5 0 -5 -0.00038741
37 -3.6 0 -5 -0.00041479
38 -3.7 0 -5 -0.000443
39 -3.8 0 -5 -0.00047201
40 -3.9 0 -5 -0.00050177
41 -4 0 -5 -0.00053225
42 -4.1 0 -5 -0.00056355
43 -4.2 0 -5 -0.00059556
44 -4.3 0 -5 -0.00062828
45 -4.4 0 -5 -0.0006617
46 -4.5 0 -5 -0.00069582
47 -4.6 0 -5 -0.00073064
48 -4.7 0 -5 -0.00076607
49 -4.8 0 -5 -0.00080224
50 -4.9 0 -5 -0.00083899
51 -5 0 -5 -0.00087638
52 0 0.5 -5 -1.2445E-10
53 -0.1 0.5 -5 -1.2425E-10
54 -0.2 0.5 -5 -1.2419E-10
55 -0.3 0.5 -5 -1.2415E-10
56 -0.4 0.5 -5 -1.2492E-10
57 -0.5 0.5 -5 -1.3841E-10
58 -0.6 0.5 -5 -3.1017E-10
59 -0.7 0.5 -5 -2.8045E-09
60 -0.8 0.5 -5 -2.3484E-08
61 -0.9 0.5 -5 -1.5655E-07
62 -1 0.5 -5 -6.2592E-07
63 -1.1 0.5 -5 -1.6896E-06
64 -1.2 0.5 -5 -3.5257E-06
65 -1.3 0.5 -5 -6.2583E-06
66 -1.4 0.5 -5 -9.9611E-06
67 -1.5 0.5 -5 -1.4699E-05
68 -1.6 0.5 -5 -2.0456E-05
69 -1.7 0.5 -5 -2.7296E-05
70 -1.8 0.5 -5 -3.5208E-05
71 -1.9 0.5 -5 -4.4199E-05
72 -2 0.5 -5 -5.4258E-05
73 -2.1 0.5 -5 -6.5401E-05
74 -2.2 0.5 -5 -7.7588E-05
75 -2.3 0.5 -5 -9.083E-05
76 -2.4 0.5 -5 -0.000105111
77 -2.5 0.5 -5 -0.00012043
78 -2.6 0.5 -5 -0.00013673
79 -2.7 0.5 -5 -0.00015401
80 -2.8 0.5 -5 -0.00017227
81 -2.9 0.5 -5 -0.00019152
82 -3 0.5 -5 -0.00021172
83 -3.1 0.5 -5 -0.0002328
84 -3.2 0.5 -5 -0.00025482
85 -3.3 0.5 -5 -0.00027756
86 -3.4 0.5 -5 -0.00030139
87 -3.5 0.5 -5 -0.00032607
88 -3.6 0.5 -5 -0.00035157
89 -3.7 0.5 -5 -0.00037792
90 -3.8 0.5 -5 -0.00040508
91 -3.9 0.5 -5 -0.00043304
92 -4 0.5 -5 -0.00046183
93 -4.1 0.5 -5 -0.0004914
94 -4.2 0.5 -5 -0.00052175
95 -4.3 0.5 -5 -0.00055282
96 -4.4 0.5 -5 -0.00058462
97 -4.5 0.5 -5 -0.00061712
98 -4.6 0.5 -5 -0.00065038
99 -4.7 0.5 -5 -0.00068429
100 -4.8 0.5 -5 -0.00071894
101 -4.9 0.5 -5 -0.0007542
102 -5 0.5 -5 -0.00079018
103 0 1 -5 -1.7389E-10
104 -0.1 1 -5 -1.7342E-10
105 -0.2 1 -5 -1.7372E-10
106 -0.3 1 -5 -1.7418E-10
107 -0.4 1 -5 -1.7336E-10
108 -0.5 1 -5 -1.7353E-10
109 -0.6 1 -5 -1.7429E-10
110 -0.7 1 -5 -1.8012E-10
111 -0.8 1 -5 -2.7486E-10
112 -0.9 1 -5 -1.1192E-09
113 -1 1 -5 -1.6331E-08
114 -1.1 1 -5 -1.2799E-07
115 -1.2 1 -5 -5.5431E-07
116 -1.3 1 -5 -1.5568E-06
117 -1.4 1 -5 -3.322E-06
118 -1.5 1 -5 -5.9829E-06
119 -1.6 1 -5 -9.6113E-06
120 -1.7 1 -5 -1.4272E-05
121 -1.8 1 -5 -1.9971E-05
122 -1.9 1 -5 -2.6745E-05
123 -2 1 -5 -3.4589E-05
124 -2.1 1 -5 -4.3513E-05
125 -2.2 1 -5 -5.3517E-05
126 -2.3 1 -5 -6.4583E-05
127 -2.4 1 -5 -7.6706E-05
128 -2.5 1 -5 -8.9895E-05
129 -2.6 1 -5 -0.00010411
130 -2.7 1 -5 -0.00011937
131 -2.8 1 -5 -0.0001356
132 -2.9 1 -5 -0.00015283
133 -3 1 -5 -0.00017102
134 -3.1 1 -5 -0.00019017
135 -3.2 1 -5 -0.00021029
136 -3.3 1 -5 -0.00023118
137 -3.4 1 -5 -0.00025317
138 -3.5 1 -5 -0.00027598
139 -3.6 1 -5 -0.00029967
140 -3.7 1 -5 -0.00032429
141 -3.8 1 -5 -0.00034971
142 -3.9 1 -5 -0.00037599
143 -4 1 -5 -0.00040308
144 -4.1 1 -5 -0.00043102
145 -4.2 1 -5 -0.00045973
146 -4.3 1 -5 -0.00048921
147 -4.4 1 -5 -0.00051949
148 -4.5 1 -5 -0.00055046
149 -4.6 1 -5 -0.00058218
150 -4.7 1 -5 -0.00061457
151 -4.8 1 -5 -0.0006478
152 -4.9 1 -5 -0.00068171
153 -5 1 -5 -0.00071624
154 0 1.5 -5 -2.4503E-10
155 -0.1 1.5 -5 -2.4507E-10
156 -0.2 1.5 -5 -2.4485E-10
157 -0.3 1.5 -5 -2.4504E-10
158 -0.4 1.5 -5 -2.4511E-10
159 -0.5 1.5 -5 -2.45E-10
160 -0.6 1.5 -5 -2.4443E-10
161 -0.7 1.5 -5 -2.4468E-10
162 -0.8 1.5 -5 -2.4548E-10
163 -0.9 1.5 -5 -2.531E-10
164 -1 1.5 -5 -3.7044E-10
165 -1.1 1.5 -5 -2.5281E-09
166 -1.2 1.5 -5 -2.3258E-08
167 -1.3 1.5 -5 -1.6697E-07
168 -1.4 1.5 -5 -6.7003E-07
169 -1.5 1.5 -5 -1.7875E-06
170 -1.6 1.5 -5 -3.6906E-06
171 -1.7 1.5 -5 -6.5029E-06
172 -1.8 1.5 -5 -1.02969E-05
173 -1.9 1.5 -5 -1.5117E-05
174 -2 1.5 -5 -2.0986E-05
175 -2.1 1.5 -5 -2.7922E-05
176 -2.2 1.5 -5 -3.5932E-05
177 -2.3 1.5 -5 -4.5019E-05
178 -2.4 1.5 -5 -5.5158E-05
179 -2.5 1.5 -5 -6.6388E-05
180 -2.6 1.5 -5 -7.8656E-05
181 -2.7 1.5 -5 -9.1949E-05
182 -2.8 1.5 -5 -0.000106301
183 -2.9 1.5 -5 -0.00012166
184 -3 1.5 -5 -0.00013799
185 -3.1 1.5 -5 -0.00015535
186 -3.2 1.5 -5 -0.00017366
187 -3.3 1.5 -5 -0.00019276
188 -3.4 1.5 -5 -0.00021296
189 -3.5 1.5 -5 -0.00023406
190 -3.6 1.5 -5 -0.00025606
191 -3.7 1.5 -5 -0.00027897
192 -3.8 1.5 -5 -0.0003028
193 -3.9 1.5 -5 -0.00032744
194 -4 1.5 -5 -0.00035293
195 -4.1 1.5 -5 -0.00037928
196 -4.2 1.5 -5 -0.00040642
197 -4.3 1.5 -5 -0.00043437
198 -4.4 1.5 -5 -0.0004631
199 -4.5 1.5 -5 -0.00049266
200 -4.6 1.5 -5 -0.00052294
201 -4.7 1.5 -5 -0.00055396
202 -4.8 1.5 -5 -0.0005857
203 -4.9 1.5 -5 -0.00061822
204 -5 1.5 -5 -0.00065142
205 0 2 -5 -3.4306E-10
206 -0.1 2 -5 -3.4355E-10
207 -0.2 2 -5 -3.4233E-10
208 -0.3 2 -5 -3.4291E-10
209 -0.4 2 -5 -3.4436E-10
210 -0.5 2 -5 -3.4164E-10
211 -0.6 2 -5 -3.4296E-10
212 -0.7 2 -5 -3.4291E-10
213 -0.8 2 -5 -3.4323E-10
214 -0.9 2 -5 -3.4306E-10
215 -1 2 -5 -3.4404E-10
216 -1.1 2 -5 -3.6046E-10
217 -1.2 2 -5 -6.1799E-10
218 -1.3 2 -5 -4.7436E-09
219 -1.4 2 -5 -4.6923E-08
220 -1.5 2 -5 -2.8292E-07
221 -1.6 2 -5 -9.6605E-07
222 -1.7 2 -5 -2.3355E-06
223 -1.8 2 -5 -4.5302E-06
224 -1.9 2 -5 -7.6596E-06
225 -2 2 -5 -1.1784E-05
226 -2.1 2 -5 -1.6924E-05
227 -2.2 2 -5 -2.313E-05
228 -2.3 2 -5 -3.0387E-05
229 -2.4 2 -5 -3.8729E-05
230 -2.5 2 -5 -4.8127E-05
231 -2.6 2 -5 -5.8592E-05
232 -2.7 2 -5 -7.01E-05
233 -2.8 2 -5 -8.266E-05
234 -2.9 2 -5 -9.6235E-05
235 -3 2 -5 -0.000110847
236 -3.1 2 -5 -0.0001265
237 -3.2 2 -5 -0.00014304
238 -3.3 2 -5 -0.00016049
239 -3.4 2 -5 -0.00017902
240 -3.5 2 -5 -0.00019849
241 -3.6 2 -5 -0.00021887
242 -3.7 2 -5 -0.00024016
243 -3.8 2 -5 -0.00026239
244 -3.9 2 -5 -0.00028552
245 -4 2 -5 -0.00030946
246 -4.1 2 -5 -0.00033428
247 -4.2 2 -5 -0.00035996
248 -4.3 2 -5 -0.00038646
249 -4.4 2 -5 -0.00041374
250 -4.5 2 -5 -0.00044186
251 -4.6 2 -5 -0.00047071
252 -4.7 2 -5 -0.00050035
253 -4.8 2 -5 -0.00053077
254 -4.9 2 -5 -0.00056189
255 -5 2 -5 -0.00059379
256 0 2.5 -5 -4.7461E-10
257 -0.1 2.5 -5 -4.7504E-10
258 -0.2 2.5 -5 -4.7241E-10
259 -0.3 2.5 -5 -4.7355E-10
260 -0.4 2.5 -5 -4.7238E-10
261 -0.5 2.5 -5 -4.721E-10
262 -0.6 2.5 -5 -4.73E-10
263 -0.7 2.5 -5 -4.7281E-10
264 -0.8 2.5 -5 -4.7268E-10
265 -0.9 2.5 -5 -4.7231E-10
266 -1 2.5 -5 -4.7218E-10
267 -1.1 2.5 -5 -4.7245E-10
268 -1.2 2.5 -5 -4.7809E-10
269 -1.3 2.5 -5 -5.3052E-10
270 -1.4 2.5 -5 -1.13003E-09
271 -1.5 2.5 -5 -1.4505E-08
272 -1.6 2.5 -5 -1.1897E-07
273 -1.7 2.5 -5 -5.3209E-07
274 -1.8 2.5 -5 -1.5136E-06
275 -1.9 2.5 -5 -3.2479E-06
276 -2 2.5 -5 -5.8649E-06
277 -2.1 2.5 -5 -9.433E-06
278 -2.2 2.5 -5 -1.4015E-05
279 -2.3 2.5 -5 -1.9611E-05
280 -2.4 2.5 -5 -2.6275E-05
281 -2.5 2.5 -5 -3.3977E-05
