
VD= 0 to 5 in 0.1 step
VG= 0 to 5 in 0.5 step
NO. VG VB VD ID IB
 V V V A A
1 0 -5 0 1.2594E-10 -8.106E-10
2 0 -5 0.1 1.2582E-10 -8.408E-10
3 0 -5 0.2 1.2618E-10 -8.833E-10
4 0 -5 0.3 1.2789E-10 -9.541E-10
5 0 -5 0.4 1.3126E-10 -1.017E-09
6 0 -5 0.5 1.2667E-10 -9.627E-10
7 0 -5 0.6 1.2883E-10 -1.0209E-09
8 0 -5 0.7 1.2708E-10 -9.755E-10
9 0 -5 0.8 1.264E-10 -1.0351E-09
10 0 -5 0.9 1.2623E-10 -9.78E-10
11 0 -5 1 1.268E-10 -1.0345E-09
12 0 -5 1.1 1.2499E-10 -9.87E-10
13 0 -5 1.2 1.2569E-10 -9.023E-10
14 0 -5 1.3 1.2556E-10 -9.673E-10
15 0 -5 1.4 1.249E-10 -8.966E-10
16 0 -5 1.5 1.2609E-10 -8.136E-10
17 0 -5 1.6 1.2636E-10 -8.452E-10
18 0 -5 1.7 1.2631E-10 -8.704E-10
19 0 -5 1.8 1.2557E-10 -9.623E-10
20 0 -5 1.9 1.2547E-10 -8.878E-10
21 0 -5 2 1.2619E-10 -8.266E-10
22 0 -5 2.1 1.2645E-10 -8.831E-10
23 0 -5 2.2 1.2592E-10 -9.531E-10
24 0 -5 2.3 1.273E-10 -9.065E-10
25 0 -5 2.4 1.2816E-10 -8.205E-10
26 0 -5 2.5 1.2758E-10 -8.863E-10
27 0 -5 2.6 1.2554E-10 -9.557E-10
28 0 -5 2.7 1.2899E-10 -9.163E-10
29 0 -5 2.8 1.284E-10 -8.516E-10
30 0 -5 2.9 1.2849E-10 -9.197E-10
31 0 -5 3 1.2863E-10 -9.788E-10
32 0 -5 3.1 1.2781E-10 -9.288E-10
33 0 -5 3.2 1.277E-10 -9.971E-10
34 0 -5 3.3 1.2841E-10 -9.457E-10
35 0 -5 3.4 1.2996E-10 -9.727E-10
36 0 -5 3.5 1.2996E-10 -9.242E-10
37 0 -5 3.6 1.2941E-10 -8.46E-10
38 0 -5 3.7 1.2981E-10 -9.301E-10
39 0 -5 3.8 1.2711E-10 -8.641E-10
40 0 -5 3.9 1.2404E-10 -9.202E-10
41 0 -5 4 1.242E-10 -8.709E-10
42 0 -5 4.1 1.2422E-10 -7.793E-10
43 0 -5 4.2 1.2353E-10 -8.33E-10
44 0 -5 4.3 1.2394E-10 -7.551E-10
45 0 -5 4.4 1.2444E-10 -8.231E-10
46 0 -5 4.5 1.2467E-10 -8.704E-10
47 0 -5 4.6 1.2635E-10 -8.026E-10
48 0 -5 4.7 1.2662E-10 -8.583E-10
49 0 -5 4.8 1.2706E-10 -7.867E-10
50 0 -5 4.9 1.274E-10 -8.424E-10
51 0 -5 5 1.2977E-10 -7.66E-10
52 0.5 -5 0 1.361E-10 -1.0172E-09
53 0.5 -5 0.1 1.3619E-10 -1.0502E-09
54 0.5 -5 0.2 1.3652E-10 -1.0178E-09
55 0.5 -5 0.3 1.3601E-10 -9.617E-10
56 0.5 -5 0.4 1.3673E-10 -1.0199E-09
57 0.5 -5 0.5 1.3714E-10 -9.65E-10
58 0.5 -5 0.6 1.3678E-10 -1.0163E-09
59 0.5 -5 0.7 1.3701E-10 -9.571E-10
60 0.5 -5 0.8 1.3669E-10 -1.0126E-09
61 0.5 -5 0.9 1.3746E-10 -9.639E-10
62 0.5 -5 1 1.373E-10 -1.0199E-09
63 0.5 -5 1.1 1.3726E-10 -9.668E-10
64 0.5 -5 1.2 1.3642E-10 -1.0261E-09
65 0.5 -5 1.3 1.3706E-10 -9.704E-10
66 0.5 -5 1.4 1.37E-10 -1.0274E-09
67 0.5 -5 1.5 1.3681E-10 -9.748E-10
68 0.5 -5 1.6 1.3703E-10 -1.0283E-09
69 0.5 -5 1.7 1.3743E-10 -9.837E-10
70 0.5 -5 1.8 1.3743E-10 -1.0264E-09
71 0.5 -5 1.9 1.3785E-10 -9.75E-10
72 0.5 -5 2 1.3772E-10 -1.0258E-09
73 0.5 -5 2.1 1.3803E-10 -9.757E-10
74 0.5 -5 2.2 1.3813E-10 -1.0126E-09
75 0.5 -5 2.3 1.3756E-10 -9.563E-10
76 0.5 -5 2.4 1.3782E-10 -1.001E-09
77 0.5 -5 2.5 1.3839E-10 -9.545E-10
78 0.5 -5 2.6 1.3908E-10 -1.0115E-09
79 0.5 -5 2.7 1.3785E-10 -9.442E-10
80 0.5 -5 2.8 1.3872E-10 -9.99E-10
81 0.5 -5 2.9 1.3842E-10 -9.38E-10
82 0.5 -5 3 1.3933E-10 -9.969E-10
83 0.5 -5 3.1 1.3907E-10 -9.354E-10
84 0.5 -5 3.2 1.3936E-10 -1E-09
85 0.5 -5 3.3 1.3928E-10 -1.0376E-09
86 0.5 -5 3.4 1.3963E-10 -9.899E-10
87 0.5 -5 3.5 1.4061E-10 -1.032E-09
88 0.5 -5 3.6 1.4093E-10 -9.819E-10
89 0.5 -5 3.7 1.4166E-10 -1.0248E-09
90 0.5 -5 3.8 1.4263E-10 -9.716E-10
91 0.5 -5 3.9 1.45E-10 -1.0175E-09
92 0.5 -5 4 1.4887E-10 -9.726E-10
93 0.5 -5 4.1 1.5258E-10 -1.0286E-09
94 0.5 -5 4.2 1.5441E-10 -1.0658E-09
95 0.5 -5 4.3 1.54E-10 -1.027E-09
96 0.5 -5 4.4 1.5512E-10 -1.0628E-09
97 0.5 -5 4.5 1.5586E-10 -1.0126E-09
98 0.5 -5 4.6 1.564E-10 -1.0575E-09
99 0.5 -5 4.7 1.5862E-10 -1.0083E-09
100 0.5 -5 4.8 1.58E-10 -1.0548E-09
101 0.5 -5 4.9 1.5992E-10 -9.996E-10
102 0.5 -5 5 1.5999E-10 -1.0476E-09
103 1 -5 0 1.7137E-10 -1.134E-09
104 1 -5 0.1 1.7245E-10 -1.1612E-09
105 1 -5 0.2 1.7367E-10 -1.1723E-09
106 1 -5 0.3 1.7283E-10 -1.1529E-09
