FET Vgs-Id
VG=,0,to,5,in,0.1,step
VDS=,0,to,7,in,0.1,step
NO.,VG,ID,VDS,VSUB
,V,A,V,V
1,0,6.5E-13,0,-2.5
2,0.1,5.9E-13,0,-2.5
3,0.2,5.5E-13,0,-2.5
4,0.3,4E-13,0,-2.5
5,0.4,4.6E-13,0,-2.5
6,0.5,4.6E-13,0,-2.5
7,0.6,4.7E-13,0,-2.5
8,0.7,4.72E-12,0,-2.5
9,0.8,1.1697E-10,0,-2.5
10,0.9,2.5342E-09,0,-2.5
11,1,9.0451E-09,0,-2.5
12,1.1,4.0265E-08,0,-2.5
13,1.2,4.945E-09,0,-2.5
14,1.3,-5.6522E-08,0,-2.5
15,1.4,-1.16737E-07,0,-2.5
16,1.5,-2.0322E-07,0,-2.5
17,1.6,-2.5946E-07,0,-2.5
18,1.7,-3.227E-07,0,-2.5
19,1.8,-3.8646E-07,0,-2.5
20,1.9,-4.5251E-07,0,-2.5
21,2,-5.1142E-07,0,-2.5
22,2.1,-5.713E-07,0,-2.5
23,2.2,-6.2755E-07,0,-2.5
24,2.3,-6.7982E-07,0,-2.5
25,2.4,-7.3372E-07,0,-2.5
26,2.5,-7.8617E-07,0,-2.5
27,2.6,-8.3349E-07,0,-2.5
28,2.7,-8.7975E-07,0,-2.5
29,2.8,-9.232E-07,0,-2.5
30,2.9,-9.6649E-07,0,-2.5
31,3,-1.00932E-06,0,-2.5
32,3.1,-1.04935E-06,0,-2.5
33,3.2,-1.08994E-06,0,-2.5
34,3.3,-1.12536E-06,0,-2.5
35,3.4,-1.2911E-06,0,-2.5
36,3.5,-1.3403E-06,0,-2.5
37,3.6,-1.376E-06,0,-2.5
38,3.7,-1.3804E-06,0,-2.5
39,3.8,-1.4239E-06,0,-2.5
40,3.9,-1.4599E-06,0,-2.5
41,4,-1.5002E-06,0,-2.5
42,4.1,-1.538E-06,0,-2.5
43,4.2,-1.573E-06,0,-2.5
44,4.3,-1.5858E-06,0,-2.5
45,4.4,-1.6195E-06,0,-2.5
46,4.5,-1.6135E-06,0,-2.5
47,4.6,-1.6757E-06,0,-2.5
48,4.7,-1.7055E-06,0,-2.5
49,4.8,-1.7359E-06,0,-2.5
50,4.9,-1.7548E-06,0,-2.5
51,5,-1.7931E-06,0,-2.5
52,0,3E-13,0.1,-2.5
53,0.1,1.4E-13,0.1,-2.5
54,0.2,1.6E-13,0.1,-2.5
55,0.3,1.4E-13,0.1,-2.5
56,0.4,8E-14,0.1,-2.5
57,0.5,2.1E-13,0.1,-2.5
58,0.6,1.26E-12,0.1,-2.5
59,0.7,3.259E-11,0.1,-2.5
60,0.8,8.493E-10,0.1,-2.5
61,0.9,2.0502E-08,0.1,-2.5
62,1,3.7475E-07,0.1,-2.5
63,1.1,3.2499E-06,0.1,-2.5
64,1.2,1.1627E-05,0.1,-2.5
65,1.3,2.3818E-05,0.1,-2.5
66,1.4,3.7224E-05,0.1,-2.5
67,1.5,5.0667E-05,0.1,-2.5
68,1.6,6.3755E-05,0.1,-2.5
69,1.7,7.6333E-05,0.1,-2.5
70,1.8,8.839E-05,0.1,-2.5
71,1.9,9.9941E-05,0.1,-2.5
72,2,0.000111001,0.1,-2.5
73,2.1,0.0001216,0.1,-2.5
74,2.2,0.00013175,0.1,-2.5
75,2.3,0.00014151,0.1,-2.5
76,2.4,0.00015076,0.1,-2.5
77,2.5,0.00015982,0.1,-2.5
78,2.6,0.00016848,0.1,-2.5
79,2.7,0.00017682,0.1,-2.5
80,2.8,0.00018491,0.1,-2.5
81,2.9,0.00019266,0.1,-2.5
82,3,0.00020018,0.1,-2.5
83,3.1,0.00020739,0.1,-2.5
84,3.2,0.00021445,0.1,-2.5
85,3.3,0.00022123,0.1,-2.5
86,3.4,0.00022778,0.1,-2.5
87,3.5,0.0002342,0.1,-2.5
88,3.6,0.00024034,0.1,-2.5
89,3.7,0.00024639,0.1,-2.5
90,3.8,0.00025221,0.1,-2.5
91,3.9,0.0002578,0.1,-2.5
92,4,0.00026334,0.1,-2.5
93,4.1,0.00026866,0.1,-2.5
94,4.2,0.00027386,0.1,-2.5
95,4.3,0.00027895,0.1,-2.5
96,4.4,0.00028385,0.1,-2.5
97,4.5,0.00028872,0.1,-2.5
98,4.6,0.00029328,0.1,-2.5
99,4.7,0.00029779,0.1,-2.5
100,4.8,0.00030217,0.1,-2.5
101,4.9,0.00030657,0.1,-2.5
102,5,0.00031063,0.1,-2.5
103,0,4.9E-13,0.2,-2.5
104,0.1,5.1E-13,0.2,-2.5
105,0.2,3.7E-13,0.2,-2.5
106,0.3,3.5E-13,0.2,-2.5
107,0.4,2.7E-13,0.2,-2.5
108,0.5,3.4E-13,0.2,-2.5
109,0.6,1.36E-12,0.2,-2.5
110,0.7,3.362E-11,0.2,-2.5
111,0.8,8.8022E-10,0.2,-2.5
112,0.9,2.1653E-08,0.2,-2.5
113,1,3.9494E-07,0.2,-2.5
114,1.1,3.6314E-06,0.2,-2.5
115,1.2,1.4821E-05,0.2,-2.5
116,1.3,3.4996E-05,0.2,-2.5
117,1.4,6.023E-05,0.2,-2.5
118,1.5,8.6899E-05,0.2,-2.5
119,1.6,0.000113401,0.2,-2.5
120,1.7,0.00013905,0.2,-2.5
121,1.8,0.00016375,0.2,-2.5
122,1.9,0.00018743,0.2,-2.5
123,2,0.00021013,0.2,-2.5
124,2.1,0.00023184,0.2,-2.5
125,2.2,0.00025265,0.2,-2.5
126,2.3,0.00027263,0.2,-2.5
127,2.4,0.00029166,0.2,-2.5
128,2.5,0.00031005,0.2,-2.5
129,2.6,0.00032776,0.2,-2.5
130,2.7,0.00034483,0.2,-2.5
131,2.8,0.00036132,0.2,-2.5
132,2.9,0.00037715,0.2,-2.5
133,3,0.00039238,0.2,-2.5
134,3.1,0.00040723,0.2,-2.5
135,3.2,0.00042149,0.2,-2.5
136,3.3,0.00043535,0.2,-2.5
137,3.4,0.00044871,0.2,-2.5
138,3.5,0.00046171,0.2,-2.5
139,3.6,0.00047425,0.2,-2.5
140,3.7,0.00048645,0.2,-2.5
141,3.8,0.00049836,0.2,-2.5
142,3.9,0.00050971,0.2,-2.5
143,4,0.0005209,0.2,-2.5
144,4.1,0.00053172,0.2,-2.5
145,4.2,0.00054228,0.2,-2.5
146,4.3,0.00055259,0.2,-2.5
147,4.4,0.00056256,0.2,-2.5
148,4.5,0.00057229,0.2,-2.5
149,4.6,0.0005817,0.2,-2.5
150,4.7,0.0005909,0.2,-2.5
151,4.8,0.00059982,0.2,-2.5
152,4.9,0.00060854,0.2,-2.5
153,5,0.00061712,0.2,-2.5
154,0,6.7E-13,0.3,-2.5
155,0.1,5.3E-13,0.3,-2.5
156,0.2,3.9E-13,0.3,-2.5
157,0.3,2.7E-13,0.3,-2.5
158,0.4,2.4E-13,0.3,-2.5
159,0.5,4.3E-13,0.3,-2.5
160,0.6,1.43E-12,0.3,-2.5
161,0.7,3.429E-11,0.3,-2.5
162,0.8,8.9384E-10,0.3,-2.5
163,0.9,2.1602E-08,0.3,-2.5
164,1,4.0239E-07,0.3,-2.5
165,1.1,3.7166E-06,0.3,-2.5
166,1.2,1.5528E-05,0.3,-2.5
167,1.3,3.8778E-05,0.3,-2.5
168,1.4,7.1753E-05,0.3,-2.5
169,1.5,0.000109788,0.3,-2.5
170,1.6,0.00014918,0.3,-2.5
171,1.7,0.0001881,0.3,-2.5
172,1.8,0.00022582,0.3,-2.5
173,1.9,0.0002621,0.3,-2.5
174,2,0.0002969,0.3,-2.5
175,2.1,0.00033024,0.3,-2.5
176,2.2,0.00036219,0.3,-2.5
177,2.3,0.00039279,0.3,-2.5
178,2.4,0.00042199,0.3,-2.5
179,2.5,0.00045022,0.3,-2.5
180,2.6,0.00047739,0.3,-2.5
181,2.7,0.00050349,0.3,-2.5
182,2.8,0.00052866,0.3,-2.5
183,2.9,0.00055294,0.3,-2.5
184,3,0.00057625,0.3,-2.5
185,3.1,0.00059886,0.3,-2.5
186,3.2,0.00062077,0.3,-2.5
187,3.3,0.0006418,0.3,-2.5
188,3.4,0.00066221,0.3,-2.5
189,3.5,0.00068208,0.3,-2.5
190,3.6,0.0007013,0.3,-2.5
191,3.7,0.00071984,0.3,-2.5
192,3.8,0.00073785,0.3,-2.5
193,3.9,0.00075524,0.3,-2.5
194,4,0.00077224,0.3,-2.5
195,4.1,0.00078874,0.3,-2.5
196,4.2,0.0008047,0.3,-2.5
197,4.3,0.00082044,0.3,-2.5
198,4.4,0.00083558,0.3,-2.5
199,4.5,0.0008503,0.3,-2.5
200,4.6,0.00086459,0.3,-2.5
201,4.7,0.00087849,0.3,-2.5
202,4.8,0.00089204,0.3,-2.5
203,4.9,0.00090522,0.3,-2.5
204,5,0.00091823,0.3,-2.5
