FET Vgs-Id
VG=,0,to,5,in,0.1,step
VDS=,0,to,7,in,0.1,step
NO.,VG,ID,VDS,VSUB
,V,A,V,V
1,0,9E-13,0,-3
2,0.1,7.6E-13,0,-3
3,0.2,6.6E-13,0,-3
4,0.3,7.3E-13,0,-3
5,0.4,6.2E-13,0,-3
6,0.5,4.7E-13,0,-3
7,0.6,5.8E-13,0,-3
8,0.7,9.8E-13,0,-3
9,0.8,1.484E-11,0,-3
10,0.9,3.4932E-10,0,-3
11,1,6.3012E-09,0,-3
12,1.1,3.4084E-08,0,-3
13,1.2,4.9745E-08,0,-3
14,1.3,5.471E-09,0,-3
15,1.4,-5.4434E-08,0,-3
16,1.5,-1.17102E-07,0,-3
17,1.6,-2.0995E-07,0,-3
18,1.7,-2.7359E-07,0,-3
19,1.8,-3.3254E-07,0,-3
20,1.9,-4.0087E-07,0,-3
21,2,-4.6242E-07,0,-3
22,2.1,-5.315E-07,0,-3
23,2.2,-6.0303E-07,0,-3
24,2.3,-6.6537E-07,0,-3
25,2.4,-7.1596E-07,0,-3
26,2.5,-7.5871E-07,0,-3
27,2.6,-8.084E-07,0,-3
28,2.7,-8.5952E-07,0,-3
29,2.8,-9.0447E-07,0,-3
30,2.9,-9.4768E-07,0,-3
31,3,-9.9093E-07,0,-3
32,3.1,-1.03188E-06,0,-3
33,3.2,-1.07106E-06,0,-3
34,3.3,-1.1102E-06,0,-3
35,3.4,-1.14845E-06,0,-3
36,3.5,-1.2906E-06,0,-3
37,3.6,-1.3683E-06,0,-3
38,3.7,-1.4002E-06,0,-3
39,3.8,-1.4574E-06,0,-3
40,3.9,-1.4885E-06,0,-3
41,4,-1.5176E-06,0,-3
42,4.1,-1.5024E-06,0,-3
43,4.2,-1.5765E-06,0,-3
44,4.3,-1.5807E-06,0,-3
45,4.4,-1.5965E-06,0,-3
46,4.5,-1.6639E-06,0,-3
47,4.6,-1.681E-06,0,-3
48,4.7,-1.6981E-06,0,-3
49,4.8,-1.7177E-06,0,-3
50,4.9,-1.7492E-06,0,-3
51,5,-1.7882E-06,0,-3
52,0,7.4E-13,0.1,-3
53,0.1,7.2E-13,0.1,-3
54,0.2,5.3E-13,0.1,-3
55,0.3,5.7E-13,0.1,-3
56,0.4,4.9E-13,0.1,-3
57,0.5,5.2E-13,0.1,-3
58,0.6,5.3E-13,0.1,-3
59,0.7,3.35E-12,0.1,-3
60,0.8,8.344E-11,0.1,-3
61,0.9,2.2854E-09,0.1,-3
62,1,5.0355E-08,0.1,-3
63,1.1,7.9012E-07,0.1,-3
64,1.2,5.1678E-06,0.1,-3
65,1.3,1.5047E-05,0.1,-3
66,1.4,2.7816E-05,0.1,-3
67,1.5,4.1276E-05,0.1,-3
68,1.6,5.4585E-05,0.1,-3
69,1.7,6.7426E-05,0.1,-3
70,1.8,7.9767E-05,0.1,-3
71,1.9,9.156E-05,0.1,-3
72,2,0.000102847,0.1,-3
73,2.1,0.00011363,0.1,-3
74,2.2,0.00012397,0.1,-3
75,2.3,0.00013385,0.1,-3
76,2.4,0.00014335,0.1,-3
77,2.5,0.00015244,0.1,-3
78,2.6,0.00016118,0.1,-3
79,2.7,0.00016968,0.1,-3
80,2.8,0.00017783,0.1,-3
81,2.9,0.00018564,0.1,-3
82,3,0.00019325,0.1,-3
83,3.1,0.00020051,0.1,-3
84,3.2,0.00020762,0.1,-3
85,3.3,0.00021441,0.1,-3
86,3.4,0.00022101,0.1,-3
87,3.5,0.00022744,0.1,-3
88,3.6,0.00023359,0.1,-3
89,3.7,0.00023962,0.1,-3
90,3.8,0.00024551,0.1,-3
91,3.9,0.00025116,0.1,-3
92,4,0.00025659,0.1,-3
93,4.1,0.00026198,0.1,-3
94,4.2,0.00026715,0.1,-3
95,4.3,0.00027224,0.1,-3
96,4.4,0.00027714,0.1,-3
97,4.5,0.00028191,0.1,-3
98,4.6,0.00028658,0.1,-3
99,4.7,0.00029111,0.1,-3
100,4.8,0.00029542,0.1,-3
101,4.9,0.0002998,0.1,-3
102,5,0.000304,0.1,-3
103,0,3.3E-13,0.2,-3
104,0.1,3.9E-13,0.2,-3
105,0.2,3.7E-13,0.2,-3
106,0.3,2.7E-13,0.2,-3
107,0.4,1.6E-13,0.2,-3
108,0.5,2.4E-13,0.2,-3
109,0.6,3.6E-13,0.2,-3
110,0.7,3.35E-12,0.2,-3
111,0.8,8.614E-11,0.2,-3
112,0.9,2.3838E-09,0.2,-3
113,1,5.3434E-08,0.2,-3
114,1.1,8.4151E-07,0.2,-3
115,1.2,5.9808E-06,0.2,-3
116,1.3,2.013E-05,0.2,-3
117,1.4,4.2414E-05,0.2,-3
118,1.5,6.835E-05,0.2,-3
119,1.6,9.5008E-05,0.2,-3
120,1.7,0.00012118,0.2,-3
121,1.8,0.00014636,0.2,-3
122,1.9,0.00017054,0.2,-3
123,2,0.00019369,0.2,-3
124,2.1,0.00021584,0.2,-3
125,2.2,0.00023703,0.2,-3
126,2.3,0.00025731,0.2,-3
127,2.4,0.00027664,0.2,-3
128,2.5,0.00029529,0.2,-3
129,2.6,0.0003133,0.2,-3
130,2.7,0.00033053,0.2,-3
131,2.8,0.00034714,0.2,-3
132,2.9,0.00036315,0.2,-3
133,3,0.00037865,0.2,-3
134,3.1,0.00039353,0.2,-3
135,3.2,0.00040792,0.2,-3
136,3.3,0.00042182,0.2,-3
137,3.4,0.00043532,0.2,-3
138,3.5,0.00044842,0.2,-3
139,3.6,0.000461,0.2,-3
140,3.7,0.00047325,0.2,-3
141,3.8,0.00048508,0.2,-3
142,3.9,0.00049653,0.2,-3
143,4,0.00050774,0.2,-3
144,4.1,0.00051859,0.2,-3
145,4.2,0.00052911,0.2,-3
146,4.3,0.00053934,0.2,-3
147,4.4,0.0005493,0.2,-3
148,4.5,0.00055897,0.2,-3
149,4.6,0.00056826,0.2,-3
150,4.7,0.00057747,0.2,-3
151,4.8,0.00058639,0.2,-3
152,4.9,0.00059504,0.2,-3
153,5,0.00060354,0.2,-3
154,0,7E-13,0.3,-3
155,0.1,5E-13,0.3,-3
156,0.2,6.3E-13,0.3,-3
157,0.3,5E-13,0.3,-3
158,0.4,5E-13,0.3,-3
159,0.5,3.4E-13,0.3,-3
160,0.6,4.5E-13,0.3,-3
161,0.7,3.39E-12,0.3,-3
162,0.8,8.787E-11,0.3,-3
163,0.9,2.4104E-09,0.3,-3
164,1,5.4133E-08,0.3,-3
165,1.1,8.5829E-07,0.3,-3
166,1.2,6.145E-06,0.3,-3
167,1.3,2.139E-05,0.3,-3
168,1.4,4.8176E-05,0.3,-3
169,1.5,8.3295E-05,0.3,-3
170,1.6,0.00012201,0.3,-3
171,1.7,0.00016123,0.3,-3
172,1.8,0.00019963,0.3,-3
173,1.9,0.00023665,0.3,-3
174,2,0.00027214,0.3,-3
175,2.1,0.00030614,0.3,-3
176,2.2,0.0003387,0.3,-3
177,2.3,0.00036986,0.3,-3
178,2.4,0.00039949,0.3,-3
179,2.5,0.00042817,0.3,-3
180,2.6,0.0004557,0.3,-3
181,2.7,0.00048219,0.3,-3
182,2.8,0.00050764,0.3,-3
183,2.9,0.00053213,0.3,-3
184,3,0.00055584,0.3,-3
185,3.1,0.00057859,0.3,-3
186,3.2,0.00060052,0.3,-3
187,3.3,0.00062179,0.3,-3
188,3.4,0.00064235,0.3,-3
189,3.5,0.0006623,0.3,-3
190,3.6,0.00068148,0.3,-3
191,3.7,0.0007002,0.3,-3
192,3.8,0.00071822,0.3,-3
193,3.9,0.00073563,0.3,-3
194,4,0.00075264,0.3,-3
195,4.1,0.00076914,0.3,-3
196,4.2,0.00078527,0.3,-3
197,4.3,0.00080092,0.3,-3
198,4.4,0.00081604,0.3,-3
199,4.5,0.00083074,0.3,-3
200,4.6,0.00084509,0.3,-3
201,4.7,0.00085903,0.3,-3
202,4.8,0.00087255,0.3,-3
